record_date,power_consumption
20160901,3683282
20160902,3723110
20160903,3490429
20160904,3258102
20160905,3681162
20160906,3582158
20160907,3480405
20160908,3584115
20160909,3729301
20160910,3695458
20160911,3424545
20160912,3715688
20160913,3814278
20160914,3758030
20160915,2982572
20160916,3210144
20160917,3555462
20160918,3832516
20160919,3894787
20160920,3929544
20160921,4043865
20160922,4021526
20160923,4045334
20160924,3943147
20160925,3811406
20160926,4042132
20160927,4287965
20160928,4086998
20160929,3941842
20160930,3783264
